id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle
FISI-NET-001;FISI;FISI-NET;OSI-Modell;SC;In welcher OSI-Schicht arbeitet ein Router?;Schicht 1 (Bitübertragung);Schicht 2 (Sicherung);Schicht 3 (Vermittlung);Schicht 4 (Transport);c;Router arbeiten auf Schicht 3 (Vermittlung/Network) und entscheiden anhand von IP-Adressen über den Weg von Paketen.;leicht;Rahmenlehrplan FISI LF7
FISI-NET-002;FISI;FISI-NET;OSI-Modell;SC;Welches Protokoll arbeitet auf der Transportschicht (Schicht 4)?;IP;TCP;Ethernet;HTTP;b;TCP ist ein verbindungsorientiertes Transportprotokoll. IP arbeitet auf Schicht 3, Ethernet auf Schicht 2, HTTP auf Schicht 7.;leicht;Rahmenlehrplan FISI
FISI-NET-003;FISI;FISI-NET;OSI-Modell;SC;Welche Aussage über UDP ist richtig?;UDP ist verbindungslos und unzuverlässig, aber schnell;UDP ist verbindungsorientiert und bestätigt jedes Paket;UDP ist langsamer als TCP;UDP arbeitet auf der Sicherungsschicht;a;UDP ist verbindungslos, führt keine Bestätigungen durch und ist daher schnell, aber unzuverlässig (z. B. für Streaming, DNS).;mittel;Rahmenlehrplan FISI
FISI-NET-004;FISI;FISI-NET;IP-Adressierung;SC;Welche IP-Adresse gehört zu einem privaten IPv4-Bereich (RFC 1918)?;8.8.8.8;192.168.1.10;172.32.1.1;11.0.0.1;b;"Private Bereiche sind 10.0.0.0/8, 172.16.0.0/12 und 192.168.0.0/16. 192.168.1.10 liegt im privaten Bereich; die übrigen Adressen sind öffentlich.";mittel;RFC 1918
FISI-NET-005;FISI;FISI-NET;Subnetting;SC;Welche Subnetzmaske entspricht einem /24-Netz?;255.255.255.0;255.255.0.0;255.0.0.0;255.255.255.128;a;/24 bedeutet 24 gesetzte Bits, also 255.255.255.0. Das Netz umfasst 256 Adressen (254 nutzbar).;mittel;Rahmenlehrplan FISI
FISI-NET-006;FISI;FISI-NET;IPv6;SC;Wie viele Bit hat eine IPv6-Adresse?;32 Bit;64 Bit;128 Bit;256 Bit;c;IPv6-Adressen sind 128 Bit lang und werden als acht Hexadezimalblöcke dargestellt.;leicht;Rahmenlehrplan FISI
FISI-NET-007;FISI;FISI-NET;Namensauflösung;SC;Welches Protokoll löst Hostnamen in IP-Adressen auf?;DHCP;DNS;ARP;SNMP;b;DNS (Domain Name System) übersetzt Namen wie www.example.de in IP-Adressen. DHCP vergibt Adressen, ARP löst MAC aus IP auf.;leicht;Rahmenlehrplan FISI
FISI-NET-008;FISI;FISI-NET;Netzwerkkomponenten;SC;Welche Funktion hat ein Switch?;Verteilt Frames innerhalb eines LAN anhand der MAC-Adressen;Verbindet unterschiedliche Netze anhand von IP-Adressen;Stellt WLAN-Verbindungen zum Provider her;Übersetzt Domainnamen in IP-Adressen;a;Ein Switch lernt MAC-Adressen und leitet Frames gezielt innerhalb des LAN weiter. Router verbinden Netze über IP-Adressen.;mittel;Rahmenlehrplan FISI
FISI-NET-009;FISI;FISI-NET;Netzwerkkomponenten;FT;Wie nennt man ein Gerät, das ein lokales Netz (LAN) mit einem Weitverkehrsnetz (WAN) verbindet und zwischen verschiedenen IP-Netzen vermittelt?;;;;;Router;Ein Router verbindet unterschiedliche IP-Netze und leitet Pakete anhand der Ziel-IP-Adresse weiter.;leicht;Rahmenlehrplan FISI
FISI-NET-010;FISI;FISI-NET;Dienste;SC;Welcher Port wird standardmäßig von HTTPS verwendet?;21;80;443;3389;c;HTTPS nutzt standardmäßig Port 443. HTTP verwendet Port 80, FTP Port 21, RDP Port 3389.;leicht;Rahmenlehrplan FISI
