id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle;lernfeld
FISI-SEC-007;FISI;FISI-SEC;Netzwerksicherheit;SC;Welche Funktion hat eine Firewall?;Sie filtert Datenverkehr zwischen Netzen nach definierten Regeln;Sie verschlüsselt die gesamte Festplatte;Sie erkennt ausschließlich Viren in E-Mails;Sie vergibt IP-Adressen im LAN;a;Firewalls kontrollieren den Datenverkehr an Netzgrenzen anhand von Regeln (Paketfilter, Stateful Inspection, Application Firewall).;leicht;Rahmenlehrplan FISI;LF11b
FISI-SEC-013;FISI;FISI-SEC;Netzwerksicherheit;SC;Was ist der Zweck einer DMZ?;Öffentlich erreichbare Dienste vom internen Netz zu trennen;Das interne Netz zu beschleunigen;Alle Dienste öffentlich erreichbar zu machen;Backups zu speichern;a;In einer DMZ stehen öffentlich erreichbare Server, getrennt vom internen Netz, um Angriffe abzufangen.;mittel;Rahmenlehrplan FISI;LF11b
FISI-SEC-025;FISI;FISI-SEC;Netzsicherheit;SC;Wozu dient eine DMZ?;Zur Trennung öffentlich erreichbarer Dienste vom internen Netz;Zur Verschlüsselung des WLANs;Zur Zeitsynchronisation;Zur Adressvergabe;a;In der DMZ stehen öffentlich erreichbare Server, die durch Firewalls vom internen Netz abgeschirmt sind.;mittel;Rahmenlehrplan FISI;LF11b
FISI-SEC-026;FISI;FISI-SEC;Netzsicherheit;SC;Was macht eine Stateful Firewall?;Sie prüft den Zustand bestehender Verbindungen;Sie verschlüsselt den Datenverkehr;Sie vergibt IP-Adressen;Sie löst Namen auf;a;Stateful Firewalls verfolgen Verbindungszustände und lassen nur zugehörige Antwortpakete passieren.;schwer;Rahmenlehrplan FISI;LF11b
FISI-SEC-032;FISI;FISI-SEC;Firewall;SC;Was ist Paketfilterung?;Prüfung von IP und Port;Virenscan im Anhang;Passwortabfrage;Verschlüsselung des gesamten Datenverkehrs;a;Die Firewall entscheidet anhand von Regeln, welche Pakete passieren dürfen.;mittel;IHK;LF11b
FISI-SEC-041;FISI;FISI-SEC;Netzwerk;SC;Was ist eine DMZ?;Geschütztes Segment zw. LAN und Internet;Netz ohne Firewall;Militärnetz;Verschlüsseltes Tunnelprotokoll zwischen zwei Standorten;a;Hält öffentlich erreichbare Server vom internen Netz getrennt.;mittel;IHK;LF11b
FISI-SEC-045;FISI;FISI-SEC;Netzwerk;SC;Was versteht man unter IP-Spoofing?;Verschlüsselung;Fälschen der Absender-IP;DHCP Zuweisung;Automatische Zuweisung mehrerer IP-Adressen;b;Täuscht eine vertrauenswürdige Identität vor.;schwer;IHK;LF11b
FISI-SEC-051;FISI;FISI-SEC;VPN;SC;Was ist IPsec?;Ein Mail-Standard;Protokoll-Suite zur Sicherung der IP-Kommunikation;Ein WLAN-Name;Verfahren zur Kompression von Netzwerkpaketen;b;Häufig genutzt für Site-to-Site VPN-Verbindungen.;schwer;IHK;LF11b
FISI-SEC-052;FISI;FISI-SEC;Firewall;SC;Was ist ein Proxy-Proxy?;Ein Virenscanner;Application Level Gateway (prüft Anwendungsinhalte);Ein Switch;Gerät zur Verteilung der Netzwerklast;b;Prüft den Datenstrom bis auf Schicht 7 (Anwendungsschicht).;schwer;IHK;LF11b
FISI-SEC-057;FISI;FISI-SEC;Netzwerk;SC;Was ist Portscanning?;Hardwareprüfung;Untersuchung, welche Dienste auf einem Server aktiv sind;IP-Vergabe;Messung der Netzwerkgeschwindigkeit;b;Wird von Angreifern und Admins zur Analyse genutzt.;mittel;IHK;LF11b
FISI-SEC-070;FISI;FISI-SEC;Netzwerk;SC;Was ist ein VPN-Tunnel?;Ein physisches Erdkabel;Eine verschlüsselte Verbindung über ein unsicheres Netz;Ein schneller Switch;Direkte, unverschlüsselte Standleitung zwischen zwei Standorten;b;Ermöglicht sicheren Zugriff auf das Firmennetz von zu Hause.;leicht;IHK;LF11b
FISI-SEC-075;FISI;FISI-SEC;Netzwerk;SC;Was ist ein Proxy-Filter?;Ein schnellerer Browser;Filterung von Inhalten auf Anwendungsebene (z.B. URL-Filter);Ein Virenscanner;Gerät zur Verschlüsselung des gesamten Netzwerkverkehrs;b;Kann den Zugriff auf bestimmte Webseiten sperren.;mittel;IHK;LF11b
FISI-SEC-076;FISI;FISI-SEC;Methoden;SC;Was ist ein Audit?;Ein Virus;Systematische Überprüfung von Prozessen oder Sicherheit;Ein Backup;Automatisiertes Update von Sicherheitspatches;b;Stellt die Einhaltung von Richtlinien (Compliance) sicher.;mittel;IHK;LF11b
FISI-SEC-080;FISI;FISI-SEC;Firewall;SC;Was ist eine Stateful Inspection Firewall?;Prüft nur IP-Adressen;Prüft Pakete im Kontext der bestehenden Verbindung;Sperrt alle Ports;Erkennt und entfernt Viren aus Datenpaketen;b;Sicherer als einfache Paketfilter, da sie den Verbindungsstatus kennt.;schwer;IHK;LF11b
FISI-SEC-083;FISI;FISI-SEC;Verschlüsselung;SC;Was ist S/MIME?;Ein neuer Browser;Standard zur Verschlüsselung und Signatur von E-Mails;Ein Hardware-Verschlüsseler;Protokoll zur Übertragung großer Dateianhänge;b;Nutzt digitale Zertifikate für die Sicherheit.;schwer;IHK;LF11b
FISI-SEC-084;FISI;FISI-SEC;Methoden;SC;Was ist eine Risikoanalyse?;Versicherung abschließen;Identifikation und Bewertung potenzieller Bedrohungen;Ein Backup machen;Nachträgliche Dokumentation eines Sicherheitsvorfalls;b;Grundlage für jede Sicherheitsstrategie im Unternehmen.;mittel;IHK;LF11b
FISI-SEC-085;FISI;FISI-SEC;Protokolle;SC;Was ist Kerberos?;Ein Virus;Netzwerk-Authentifizierungsprotokoll für Single-Sign-On;Ein Browser;Verschlüsselungsalgorithmus für Festplatten;b;Wird standardmäßig in Microsoft Active Directory verwendet.;schwer;IHK;LF11b
FISI-SEC-088;FISI;FISI-SEC;System;SC;Was ist ein IDS (Intrusion Detection System)?;System zur Angriffsabwehr;System zur Erkennung und Meldung von Angriffen;Ein Backup-Tool;Programm zur Verwaltung von Benutzerrechten;b;Schlägt Alarm bei verdächtigen Mustern.;mittel;IHK;LF11b
FISI-SEC-091;FISI;FISI-SEC;Hardware;SC;Was ist ein TPM?;Druckerprotokoll;Trusted Platform Module (Sicherheitschip auf Mainboard);Ein Grafiktreiber;Software zur Verwaltung von Benutzerkonten;b;Speichert kryptografische Schlüssel für Betriebssysteme.;mittel;IHK;LF11b
FISI-SEC-092;FISI;FISI-SEC;Netzwerk;SC;Was ist IP-Spoofing?;IP-Verstecken;Fälschen der Absender-IP-Adresse;IP-Sperrung;Automatische Zuweisung einer neuen IP-Adresse;b;Wird oft für DoS-Angriffe verwendet.;schwer;IHK;LF11b
FISI-SEC-100;FISI;FISI-SEC;Zertifikate;SC;Was ist ein CSR?;Ein Verschlüsselungstyp;Certificate Signing Request (Anforderung für ein Zertifikat);Ein Virenscanner;Digitale Signatur eines Dokuments;b;Wird an eine CA gesendet, um ein SSL/TLS-Zertifikat zu erhalten.;schwer;IHK;LF11b
FISI-SEC-105;FISI;FISI-SEC;Krypto;SC;Was ist ein Session Key?;Dauerhaftes Passwort;Einmalschlüssel für eine Kommunikationssitzung;Ein Hardware-Key;Öffentlicher Schlüssel eines Servers;b;Erhöht die Sicherheit, da er nach der Sitzung verfällt.;mittel;IHK;LF11b
FISI-SEC-111;FISI;FISI-SEC;Netzwerk;SC;Welches Ziel verfolgt der Einsatz eines Honeypots?;Angreifer anzulocken, um ihr Vorgehen zu beobachten und echte Systeme zu entlasten;Den gesamten Netzwerkverkehr zu verschlüsseln;Die Performance produktiver Server zu erhöhen;Nutzerpasswörter automatisch zurückzusetzen;a;Ein Honeypot dient als bewusst verwundbares Lockvogelsystem, um Angreifer zu beobachten und von echten Zielen abzulenken.;mittel;IHK;LF11b
FISI-SEC-112;FISI;FISI-SEC;Verschlüsselung;SC;Was ist Diffie-Hellman?;Virenscanner;Verfahren zum sicheren Schlüsselaustausch;Datenlöschung;Hashfunktion zur Passwortsicherung;b;Ermöglicht zwei Partnern, einen gemeinsamen Schlüssel zu finden.;schwer;IHK;LF11b
FISI-SEC-117;FISI;FISI-SEC;Protokolle;SC;Was ist DNSSEC?;Ein schnellerer DNS;Erweiterung zur Sicherung der Integrität von DNS-Daten;Ein IP-Filter;Verschlüsselung des gesamten Datenverkehrs;b;Verhindert Manipulationen wie DNS-Spoofing durch Signaturen.;schwer;IHK;LF11b
FISI-SEC-122;FISI;FISI-SEC;Netzwerk;SC;Was ist eine Firewall?;Ein Löschsystem;Sicherheitssystem zur Kontrolle des Netzwerkverkehrs;Ein Antivirus-Programm;Programm zur Erkennung von Viren auf Endgeräten;b;Filtert Pakete nach festgelegten Regeln.;leicht;IHK;LF11b
FISI-SEC-130;FISI;FISI-SEC;System;SC;Was ist eine DMZ (Demilitarized Zone)?;Virenschutz-Zone;Sicherheitszone zwischen internem und externem Netzwerk;WLAN-Passwort;Verschlüsseltes Gästenetzwerk;b;Hier stehen Server, die aus dem Internet erreichbar sein müssen.;mittel;IHK;LF11b
FISI-SEC-132;FISI;FISI-SEC;Krypto;SC;Was ist Perfect Forward Secrecy (PFS)?;Schnelle Verschlüsselung;Verhindert Entschlüsselung alter Sitzungen bei Key-Verlust;Virenschutz;Beschleunigung des Verschlüsselungsvorgangs;b;Erzeugt für jede Sitzung einen temporären Schlüssel.;schwer;IHK;LF11b
FISI-SEC-136;FISI;FISI-SEC;Methoden;SC;Was ist ein Sicherheitsaudit?;Ein Backup;Systematische Untersuchung der IT-Sicherheit;Ein Software-Update;Automatisierte Installation von Sicherheitsupdates;b;Dient der Prüfung auf Compliance und Schwachstellen.;mittel;IHK;LF11b
FISI-SEC-139;FISI;FISI-SEC;Verschlüsselung;SC;Was ist die Blockgröße?;Länge der Datei;Datenmenge, die in einem Schritt verschlüsselt wird;Anzahl der Keys;Anzahl der Verschlüsselungsrunden;b;Wichtig bei Blockchiffren wie AES.;schwer;IHK;LF11b
FISI-SEC-141;FISI;FISI-SEC;Protokolle;SC;Was macht IPsec im Tunnel-Modus?;Nichts;Verschlüsselung des gesamten IP-Pakets;Nur Mailversand;Verschlüsselung nur der Nutzdaten (Payload);b;Standard für Site-to-Site VPNs.;schwer;IHK;LF11b
FISI-SEC-147;FISI;FISI-SEC;Protokolle;SC;Was ist RADIUS?;Ein WLAN-Router;Protokoll zur zentralen Authentifizierung von Nutzern;Virenschutz;Verschlüsselungsstandard für WLAN;b;Remote Authentication Dial-In User Service.;schwer;IHK;LF11b
FISI-SEC-160;FISI;FISI-SEC;Management;SC;Was ist ein ISMS?;Virenschutz;Informationssicherheits-Managementsystem;Ein Serverschrank;Softwarelösung zur Netzwerküberwachung;b;Regelt Prozesse zur dauerhaften Sicherung der IT.;schwer;IHK;LF11b
FISI-SEC-163;FISI;FISI-SEC;Hardware;SC;Was ist ein TPM (Trusted Platform Module)?;Ein CPU-Lüfter;Sicherheitschip für kryptografische Schlüssel;Ein RAM-Riegel;Externe Festplatte mit Verschlüsselung;b;Voraussetzung für moderne Windows-Features (BitLocker, Win11).;mittel;IHK;LF11b
FISI-SEC-164;FISI;FISI-SEC;Management;SC;Was ist ein IT-Grundschutz-Kompendium?;Ein Virenscanner;Standardwerk des BSI zur Informationssicherheit;Ein Handbuch für Hardware;Softwarelizenz für Sicherheitsprodukte;b;Enthält Bausteine für ein sicheres IT-System.;schwer;IHK;LF11b
FISI-SEC-169;FISI;FISI-SEC;Management;SC;Was ist ein SOC (Security Operations Center)?;Ein Rechenzentrum;Zentrale Einheit zur Überwachung und Analyse der IT-Sicherheit;Ein Verschlüsselungstyp;Eine Abteilung für Softwareentwicklung;b;Hier arbeiten Security-Analysten rund um die Uhr.;mittel;Zusatz;LF11b
FISI-SEC-171;FISI;FISI-SEC;Methoden;SC;Was ist ein SIEM-System?;Ein Antivirus;Zentrale Plattform zur Analyse von Sicherheits-Logdaten;Ein Dateiformat;Ein Protokoll zur Zeitsynchronisation;b;Security Information and Event Management.;schwer;Zusatz;LF11b
FISI-SEC-172;FISI;FISI-SEC;Krypto;SC;Was ist ein HSM (Hardware Security Module)?;Ein CPU-Lüfter;Physisches Gerät zum Schutz kryptografischer Schlüssel;Ein RAM-Riegel;Ein Netzwerk-Switch mit Verschlüsselungsfunktion;b;Bietet höchsten Schutz gegen Key-Diebstahl.;schwer;Zusatz;LF11b
FISI-SEC-177;FISI;FISI-SEC;Krypto;SC;Was ist eine Hash-Kollision?;Zwei gleiche Passwörter;Zwei unterschiedliche Daten mit demselben Hash-Wert;Ein Virenscan;Fehlerhafte Übertragung von Daten im Netzwerk;b;Gilt als Schwachstelle bei Hash-Funktionen.;schwer;Zusatz;LF11b
FISI-SEC-179;FISI;FISI-SEC;Methoden;SC;Was ist eine DMZ (Demilitarisierte Zone)?;Virenschutz-Zone;Netzbereich zwischen internem LAN und Internet;Ein WLAN-Typ;Bereich zur redundanten Datenspeicherung;b;Beherbergt Server wie Web- oder Mailserver.;mittel;Zusatz;LF11b
FISI-SEC-181;FISI;FISI-SEC;Technik;SC;Was ist eine Next-Generation Firewall (NGFW)?;Alte Hardware;Firewall mit zusätzlicher Deep Packet Inspection und App-Erkennung;Ein einfacher Paketfilter;Software zur Verschlüsselung von Festplatten;b;Kann Angriffe auf Anwendungsebene (Layer 7) erkennen.;mittel;Zusatz;LF11b
FISI-SEC-184;FISI;FISI-SEC;Protokolle;SC;Was macht das Protokoll IPsec?;IPs vergeben;Sicherung der IP-Kommunikation durch Verschlüsselung;WLAN verstärken;Domainnamen in IP-Adressen auflösen;b;Basis für viele VPN-Lösungen.;mittel;Zusatz;LF11b
FISI-SEC-187;FISI;FISI-SEC;System;SC;Was ist Patch-Management?;Neukauf von Hardware;Prozess der systematischen Installation von Software-Updates;Datenlöschung;Regelmäßige Kontrolle der Zugriffsrechte;b;Essenziell zur Schließung von Sicherheitslücken.;mittel;Zusatz;LF11b
FISI-SEC-188;FISI;FISI-SEC;Management;SC;Was ist ein IT-Risikomanagement?;Ein Virenscan;Systematisches Erkennen und Bewerten von IT-Gefahren;Ein Backup;Schulung der Mitarbeiter in IT-Sicherheit;b;Ziel: Minimierung potenzieller Schäden.;mittel;Zusatz;LF11b
FISI-SEC-193;FISI;FISI-SEC;Technik;SC;Was ist ein VPN-Killswitch?;PC ausschalten;Trennt Internetverbindung, falls VPN-Tunnel abbricht;Virenscanner;Beendet automatisch inaktive VPN-Sitzungen;b;Verhindert, dass Daten ungeschützt übertragen werden.;mittel;Zusatz;LF11b
FISI-SEC-197;FISI;FISI-SEC;System;SC;Was ist eine Schwachstellenanalyse?;Virenscan;Systematische Prüfung der IT auf Sicherheitslücken;Backup-Test;Kontrolle der Einhaltung von Passwortrichtlinien;b;Oft unter Einsatz automatisierter Scanner.;mittel;Zusatz;LF11b
FISI-SEC-198;FISI;FISI-SEC;Protokolle;SC;Was macht LDAPS?;Dateien drucken;Verschlüsseltes Verzeichnisprotokoll (Active Directory);Mails versenden;Verschlüsselte Übertragung von Sprachdaten;b;LDAP over SSL/TLS (Port 636).;schwer;Zusatz;LF11b
FISI-SEC-199;FISI;FISI-SEC;System;SC;Was ist SIEM?;Ein Antivirus;System zur Echtzeitanalyse von Sicherheitswarnungen;Ein Dateiformat;Verfahren zur Verschlüsselung von Logdateien;b;Security Information and Event Management.;schwer;Zusatz;LF11b
FISI-SEC-204;FISI;FISI-SEC;System;SC;Was ist eine Signaturprüfung?;Hardware-Test;Prüfung der Herkunft und Integrität von Software;Virenscan;Kontrolle der Nutzerrechte in einem System;b;Verhindert die Installation von manipuliertem Code.;mittel;Zusatz;LF11b
FISI-SEC-206;FISI;FISI-SEC;Krypto;SC;Was ist ein Replay-Angriff?;Hardware-Diebstahl;Abfangen und erneutes Senden einer gültigen Nachricht;Passwort-Raterei;Überflutung eines Servers mit Anfragen;b;Wird durch Zeitstempel oder Nonces verhindert.;schwer;Zusatz;LF11b
FISI-SEC-211;FISI;FISI-SEC;Technik;SC;Was ist Application Whitelisting?;Ein Virenscanner;Nur explizit erlaubte Programme dürfen ausgeführt werden;Ein Backup;Automatische Aktualisierung aller Programme;b;Sehr effektiver Schutz gegen unbekannte Malware.;schwer;Zusatz;LF11b
FISI-SEC-220;FISI;FISI-SEC;Protokolle;SC;Was macht IPsec?;IPs vergeben;Sicherung der IP-Kommunikation durch Verschlüsselung;Dateien löschen;Auflösen von Domainnamen in IP-Adressen;b;Wird häufig für VPN-Verbindungen genutzt.;mittel;Zusatz;LF11b
FISI-SEC-226;FISI;FISI-SEC;System;SC;Was ist Endpoint Security?;Nur Firewall;Schutz der einzelnen Endgeräte (PCs, Handys) im Netz;Ein Backup;Zentrale Verwaltung von Netzwerkzertifikaten;b;Beinhaltet Antivirus, EDR und Firewall am Client.;mittel;Zusatz;LF11b
